image_name,caption,emotions
conceptualcaptions__000e01606a2b934a9c893252d6bc51b2.jpg,person on film character while waiting for movie to come out,"['happy', 'curious', 'confused']"
conceptualcaptions__00ccbe0b62a852f8e118ffd4f89f30a3--sofa-beds--beds.jpg,"bring shimmering appeal to your sofa , bed , or chaise with this stylish pillow , showcasing a jewel - adorned cover in shades of silver .","['curious', 'beautiful']"
conceptualcaptions__01d3063cb6999c902b6bde1863d5b4c6--gold-christmas-tree-artificial-christmas-trees.jpg,"all that glitters tree ... this would be pretty ... not sure where , though .","['happy', 'excited', 'beautiful', 'nostalgic']"
conceptualcaptions__033a2f7a224d654e384e4d1f292d6e03--patio-gardens-wind-chimes.jpg,musical performance role with musical instrument - it comes completely assembled and ready to hang design .,"['intrigued', 'interested', 'neutral', 'happy', 'excited', 'annoyed']"
conceptualcaptions__05473530007d30177a40ae7b4c65911b--friday-morning-extreme-weather.jpg,dark storms gather overhead at the beach,"['concerned', 'scared', 'worried', 'sad']"
conceptualcaptions__05cb81f15cfcf009c384a025c1f5fcee--happy-valentines-day-in-need.jpg,happy valentines day from a few horses that are all in need of new homes !,"['happy', 'worried', 'hopeful', 'sad', 'angry']"
conceptualcaptions__064ffcd186d895e64e0ec3548ba20bfc--graduation-invitations-graduation-gifts.jpg,great idea - inspired keychain,"['hopeful', 'happy', 'inspired']"
conceptualcaptions__0a306b06d0bf61bcb9acc8f6c42d9ff1--blue-heelers-australian-cattle-dog.jpg,pretty sure this is the cutest puppy in the world .,"['awe', 'happy', 'curious', 'sad']"
conceptualcaptions__0cbdef83835bcb81e5a87d63635d0c3c--benefits-of-music-education-children-music.jpg,the benefits of music are in credible for children .,"['interested', 'happy', 'curious', 'sad']"
conceptualcaptions__0d6e11592004776dbc89e04a1fce4b6e--amazing-wedding-cakes-amazing-cakes.jpg,"this painted , pale blue cake with tons of flowers .","['happy', 'excited', 'beautiful']"
conceptualcaptions__100_1279.jpg,"from the top of the first pass you look down on a spectacular site , a lake nestled in amongst the hills , water so cold it 's nearly ice .","['awe', 'beautiful']"
conceptualcaptions__11232a306404daf5753fab1b2670c83a.jpg,it 's weird seeing rick without a beard .,"['neutral', 'happy', 'curious', 'amazed', 'sad']"
conceptualcaptions__1161-5318.jpg,office workers on crowded commuter train,"['interested', 'scared', 'bored', 'sad', 'angry']"
